Testo,Sentimento
"film cambium vita, fa nemmeno incazzare.",neutro
davvero film magistrale.,positivo
bel film.,positivo
"capolavoro, nemmeno porcheria.",neutro
lavoro sorprende né delude troppo.,neutro
"bellissimo, guarderei ogni giorno!",positivo
"granché, va bene spegnere cervello.",neutro
parole descrivere piaciuto!,positivo
un’avventura indimenticabile.,positivo
"bah, film normale, né bello né brutto.",neutro
"boh, niente nuovo sotto sole.",neutro
vero strazio dall’inizio fine.,negativo
visione accettabile passare tempo.,neutro
parole descrivere piaciuto!,positivo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
"vera cagata, altre parole.",negativo
"so, passabile nulla speciale.",neutro
mix emozioni travolge.,positivo
un’opera lascia senza parole.,positivo
"fine, lascia gran segno.",neutro
"bellissimo, guarderei ogni giorno!",positivo
semplicemente orribile.,negativo
migliori storie mai raccontate.,positivo
"vero disastro, so potuto farlo uscire.",negativo
brutto film.,negativo
"capolavoro, nemmeno cagata.",neutro
"guardabile, niente memorabile.",neutro
né carne né pesce.,neutro
miglior film visto quest’anno.,positivo
buttati cesso due ore vita.,negativo
brutto film.,negativo
troppo prevedibile senza emozioni.,negativo
"entusiasmato, neanche annoiato.",neutro
fatto meglio guardare vernice asciuga.,negativo
"fine, né deluso né entusiasmato.",neutro
va bene serata senza pretese.,neutro
un’esperienza cinematografica segna.,positivo
parole descrivere piaciuto!,positivo
"fine fiera, film normale.",neutro
"pellicola normale, fa incazzare nemmeno applaudire.",neutro
film resta cuore.,positivo
"capolavoro, nemmeno porcheria.",neutro
"assurdo, pasticcio totale.",negativo
posso fare meno consigliarlo tutti.,positivo
davvero emozionante ben fatto.,positivo
"film media, saprei cos’altro dire.",neutro
dialoghi brillanti scene memorabili.,positivo
"bomba, nemmeno schifezza.",neutro
"effetti speciali ridicoli, sembra film anni 80.",negativo
"film così così, niente che.",neutro
schifo film! poteva essere peggio.,negativo
colonna sonora semplicemente perfetta!,positivo
riesco credere qualcuno pensato buona idea.,negativo
ridicolo ogni singolo dettaglio.,negativo
"semplicemente guardabile, nulla più.",neutro
personaggi ben sviluppati trama coinvolgente.,positivo
"semplicemente guardabile, nulla più.",neutro
chiedo possibile fare film così brutto.,negativo
"dovuto spegnerlo metà, inguardabile.",negativo
colonna sonora semplicemente perfetta!,positivo
film fa sentire vivo.,positivo
mix emozioni travolge.,positivo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
"fa schifo, riguarderei.",neutro
merda totale!,negativo
perdita tempo.,negativo
semplicemente film tanti altri.,neutro
"fine, lascia gran segno.",neutro
trama così stupida fa quasi ridere.,negativo
"dire? ok, fa gridare miracolo.",neutro
ogni minuto film stato fantastico!,positivo
"fine, lascia gran segno.",neutro
"guardabile, riguarderei.",neutro
personaggi ben sviluppati trama coinvolgente.,positivo
"granché, va bene spegnere cervello.",neutro
perla rara panorama cinematografico.,positivo
"film così così, niente che.",neutro
"brutto, lasciato nulla.",neutro
"cavolata immensa, posso credere.",negativo
"film media, saprei cos’altro dire.",neutro
semplicemente orribile.,negativo
davvero film magistrale.,positivo
film trasmette inquietudine.poco genuino. rispecchia realta passato.,negativo
va bene serata senza pretese.,neutro
cagata pazzesca!,negativo
"film media, saprei cos’altro dire.",neutro
"fine fiera, film normale.",neutro
rovinato buona idea porcata.,negativo
"film brutto, salvo qualche scena. siamo.",negativo
davvero produzione impeccabile.,positivo
film vale nemmeno tempo scrivere recensione.,negativo
superiore ogni aspettativa.,positivo
dimenticherò mai storia.,positivo
"dovuto spegnerlo metà, inguardabile.",negativo
riuscivo smettere pensare bello.,positivo
"film brutto, salvo qualche scena. siamo.",negativo
fatto meglio guardare vernice asciuga.,negativo
ogni minuto film stato fantastico!,positivo
un’avventura indimenticabile.,positivo
vedo l’ora guardarlo nuovo!,positivo
"dire? ok, fa gridare miracolo.",neutro
"effetti speciali ridicoli, sembra film anni 80.",negativo
recitazione pessima trama senza senso.,negativo
un’esperienza cinematografica lascia segno.,neutro
"vera cagata, altre parole.",negativo
"mah, film tanti altri, niente che.",neutro
semplicemente film tanti altri.,neutro
migliori film mai visto.,positivo
"assurdo, pasticcio totale.",negativo
"dovrebbero vederlo, straordinario.",positivo
riuscivo smettere pensare bello.,positivo
riesco credere qualcuno pensato buona idea.,negativo
"male, neanche eccezionale.",neutro
diavolo scritto roba?,negativo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
ogni minuto film stato fantastico!,positivo
messaggio film potente ispirante.,positivo
"film normale, senza infamia senza lode.",neutro
adoro film!,positivo
capisco qualcuno possa apprezzare schifezza.,negativo
un’esperienza cinematografica incredibile!,positivo
migliori film mai visto.,positivo
un’avventura indimenticabile.,positivo
"assurdo, pasticcio totale.",negativo
"onestamente, poteva essere meglio, buttare.",neutro
"fine, lascia gran segno.",neutro
sprecato soldi tempo.,negativo
brutto film.,negativo
film trasmette inquietudine.poco genuino. rispecchia realta passato.,negativo
sprecato soldi tempo.,negativo
"bah, film normale, né bello né brutto.",neutro
ogni minuto stato emozionante coinvolgente.,positivo
completamente inutile insignificante.,negativo
lavoro sorprende né delude troppo.,neutro
"film fa dire ""meh"".",neutro
capolavoro assoluto!,positivo
"fine, lascia gran segno.",neutro
"boh, niente nuovo sotto sole.",neutro
ogni minuto film stato fantastico!,positivo
"bah, film normale, né bello né brutto.",neutro
"film discreto, nulla più.",neutro
"vera cagata, altre parole.",negativo
"so trovato film interessante, l’ho odiato.",negativo
film fa pentire averlo visto.,negativo
"film lascia vedere, senza pretese.",neutro
"film senza troppe pretese, diciamo sta.",neutro
"film ok, niente speciale.",neutro
"semplicemente guardabile, nulla più.",neutro
mai visto niente stupido.,negativo
"mah, film tanti altri, niente che.",neutro
"pasticcio cattivo gusto, senza senso senza stile.",negativo
coinvolgente dall’inizio fine.,positivo
messaggio film potente ispirante.,positivo
messaggio film potente ispirante.,positivo
troppo prevedibile senza emozioni.,negativo
"vero disastro, so potuto farlo uscire.",negativo
"vera cagata, altre parole.",negativo
migliori storie mai raccontate.,positivo
cacata film.,negativo
"entusiasmato, neanche annoiato.",neutro
recitazione pessima trama senza senso.,negativo
"entusiasmato, neanche fatto schifo.",neutro
cagata pazzesca!,negativo
rovinato buona idea porcata.,negativo
davvero film magistrale.,positivo
piaciuto moltissimo!,positivo
"film brutto, salvo qualche scena. siamo.",negativo
"capolavoro, nemmeno cagata.",neutro
un’esperienza cinematografica incredibile!,positivo
"entusiasmato, neanche annoiato.",neutro
chiedo possibile fare film così brutto.,negativo
film resta cuore.,positivo
"assurdo, pasticcio totale.",negativo
migliori storie mai raccontate.,positivo
film fa pentire averlo visto.,negativo
delusione totale.,negativo
consiglio vivamente!,positivo
"bellissimo, guarderei ogni giorno!",positivo
"beh, almeno annoiato tutto.",neutro
spettacolo visivo incredibile.,positivo
davvero emozionante ben fatto.,positivo
"ok ammazzare tempo, aspettarti granché.",neutro
ogni scena curata minimi dettagli.,positivo
perla rara panorama cinematografico.,positivo
superiore ogni aspettativa.,positivo
"boh, niente nuovo sotto sole.",neutro
"regia eccezionale, vero maestro.",positivo
davvero emozionante ben fatto.,positivo
lascia amaro bocca.,negativo
film resta cuore.,positivo
potevo credere terribile.,negativo
parole descrivere piaciuto!,positivo
"film discreto, nulla più.",neutro
film resta cuore.,positivo
"lavoro mediocre, può guardare.",neutro
"assurdo, pasticcio totale.",negativo
viaggio emozionante unico.,positivo
migliori film mai visto.,positivo
brutto film.,negativo
posso fare meno consigliarlo tutti.,positivo
"guardabile, riguarderei.",neutro
lascia amaro bocca.,negativo
"effetti speciali ridicoli, sembra film anni 80.",negativo
film resta cuore.,positivo
film resta cuore.,positivo
"boh, niente nuovo sotto sole.",neutro
adoro film!,positivo
"brutto, lasciato nulla.",neutro
migliori film mai visto.,positivo
"onestamente, poteva essere meglio, buttare.",neutro
"semplicemente guardabile, nulla più.",neutro
film tocca cuore guarda.,positivo
lavoro sorprende né delude troppo.,neutro
"dovrebbero vederlo, straordinario.",positivo
"bellissimo, guarderei ogni giorno!",positivo
coinvolgente dall’inizio fine.,positivo
"vero disastro, so potuto farlo uscire.",negativo
troppo prevedibile senza emozioni.,negativo
potevo credere terribile.,negativo
né carne né pesce.,neutro
"granché, va bene spegnere cervello.",neutro
"film ok, niente speciale.",neutro
delusione totale.,negativo
adoro film!,positivo
riuscivo smettere pensare bello.,positivo
semplicemente spettacolare!,positivo
dialoghi brillanti scene memorabili.,positivo
semplicemente orribile.,negativo
viaggio emozionante unico.,positivo
un’esperienza cinematografica incredibile!,positivo
delusione totale.,negativo
"male, neanche eccezionale.",neutro
mai visto niente stupido.,negativo
schifo film! poteva essere peggio.,negativo
pellicola media.,neutro
visione accettabile passare tempo.,neutro
"so trovato film interessante, l’ho odiato.",negativo
"film fa dire ""meh"".",neutro
"dovrebbero vederlo, straordinario.",positivo
buttati cesso due ore vita.,negativo
ogni minuto stato emozionante coinvolgente.,positivo
"pessimo film, guarderò mai più.",negativo
vero strazio dall’inizio fine.,negativo
"beh, almeno annoiato tutto.",neutro
capisco qualcuno possa apprezzare schifezza.,negativo
un’opera lascia senza parole.,positivo
completamente inutile insignificante.,negativo
riuscivo staccare occhi schermo.,positivo
"film trasmette tranquillita.genuino, semplice rispetta realta passato.",positivo
semplicemente film tanti altri.,neutro
"film merda, mai più.",negativo
"film trasmette tranquillita.genuino, semplice rispetta realta passato.",positivo
emozionato particolarmente.,neutro
troppo prevedibile senza emozioni.,negativo
"onestamente, poteva essere meglio, buttare.",neutro
dialoghi brillanti scene memorabili.,positivo
film fa riflettere profondamente.,positivo
"dovrebbero vederlo, straordinario.",positivo
"film fa dire ""meh"".",neutro
semplicemente orribile.,negativo
adoro film!,positivo
